id;url;product_name;brands;brands_en;ingredients_text;image_url;image_ingredients_url
p0000001;http://world-en.openbeautyfacts.org/product/00000014/susslupinen-mehl-bodylab-24;sa14aYlupinen mehl;bodylab 24;bodylab-24;caratteristiche prodotto: gel a base di acqua di arnica montana (98%) potenziato con glio io brasiliano molto ricco di caroteni) essenziale di timo, mentolo e con olio di buriti (un water-based gel (98%), enhanced with thym product characteristics: arnica montone sential oil, menthol and buriti oil (a brazilian o y rich in carotenes) very wodo d'uso: per uso cutaneo, applicare il o le parte da traftare con un massaggio circolo o a completo assorbimento. how to use: apply the gel on the affected c nd continue to massage until fully absorbed. vertenze: solo per uso esterno. non inge are il contatto con occhi, mucose e ferite op on utilizzare in caso di allergia all'arric ontana, olio di buriti, timo e mentolo opp no qualsiasi degli eccipienti. utilizzare solo t pecificatamente indicato. tenere lontano calle tato dei bambini. in caso di inges sultare immediatamente il medico e mos ra chetta. arnings: for external use only. do low, avoid contact with eyes, mucous, mana and damaged skin or wounds. do not usya allergic to arnica montana, buriti oil, y menthol to any of this product's inde edients. when using this product use only c ded. keep out of reach of children lowed, seek medical advice immediately a this label. gredients: arnica arnica montana fows er carbomer, menthol, thymus vulga me flower/leaf oil, tocopherol, ale rexuosa fruit oil, phenoxyethanol r um sorbate, benzyl alcohol ad sodium hydroxide. italy ologicamente testato su pelli sens ologically tested on sensitive son ou minerali, siliconi, colorant mineral oils, silicones, l variazione di colore ed odore & don da noturalita  del prodotto donge in color and smell is due to the furalness of the product nickel tested x001emt4wb;https://images.openbeautyfacts.org/images/products/invalid/front_sv.77.400.jpg;https://images.openbeautyfacts.org/images/products/invalid/ingredients_sv.41.400.jpg
p0000002;http://world-en.openbeautyfacts.org/product/00000311/huile-vegetale-amande-douce-aroma-zone;huile vagatale amande douce;aroma-zone;aroma-zone;prunus amygdalus dulcis oil;https://images.openbeautyfacts.org/images/products/invalid/front_fr.6.400.jpg;https://images.openbeautyfacts.org/images/products/invalid/ingredients_fr.8.400.jpg
p0000003;http://world-en.openbeautyfacts.org/product/00000561/huile-vegetale-coco-aroma-zone;huile vagatale coco;aroma-zone;aroma-zone;cocos nucifera oil;https://images.openbeautyfacts.org/images/products/invalid/front_fr.7.400.jpg;https://images.openbeautyfacts.org/images/products/invalid/ingredients_fr.11.400.jpg
p0000004;http://world-en.openbeautyfacts.org/product/00000587/macerat-huileux-lys-aroma-zone;macarat huileux lys;aroma-zone;aroma-zone;helianthus annuus seed oil, lilium candidum flower extract.;https://images.openbeautyfacts.org/images/products/invalid/front_fr.6.400.jpg;https://images.openbeautyfacts.org/images/products/invalid/ingredients_fr.8.400.jpg
p0000005;http://world-en.openbeautyfacts.org/product/00000695/ole-ole-aloe-loovara;ola ola aloa;loovara;loovara;aqua, glycerin, hydroxyethyl cellulose, phenoxyethanol, aloe barbadensis leaf juice, allantoin, benzoic acid;https://images.openbeautyfacts.org/images/products/invalid/front_fr.7.400.jpg;https://images.openbeautyfacts.org/images/products/invalid/ingredients_fr.10.400.jpg
p0000006;http://world-en.openbeautyfacts.org/product/00000859/base-lavante-aroma-zone;base lavante;aroma-zone;aroma-zone;aqua, lauryl glucoside, rosa damascena flower water, tilia vulgaris water, glycerin, sodium cocoamphoacetate, decyl glucoside, lippia citriodora water, sodium cocoyl glutamate, sodium lauryl glucose carboxylate, glyceryl caprylate, leuconostoc/radish root ferment filtrate, coco-glucoside, glyceryl oleate, lactic acid.;https://images.openbeautyfacts.org/images/products/invalid/front_fr.9.400.jpg;https://images.openbeautyfacts.org/images/products/invalid/ingredients_fr.10.400.jpg
p0000007;http://world-en.openbeautyfacts.org/product/00000905/henne-d-egypte-aroma-zone;henna d'egypte;aroma-zone;aroma-zone;lawsonia inermis (henna) leaf powder (poudre 100% pure de feuilles de henna).;https://images.openbeautyfacts.org/images/products/invalid/front_fr.9.400.jpg;https://images.openbeautyfacts.org/images/products/invalid/ingredients_fr.12.400.jpg
p0000008;http://world-en.openbeautyfacts.org/product/00001060/nail-polish-remover-wild;nail polish remover;wild;wild;expert touch nail polish remover dissolvant pour vernis a ongles removedor de esmalte nagellack entferner wl wil d nail art system net:120ml - 4fl.oz;https://images.openbeautyfacts.org/images/products/000/000/000/1060/front_en.10.400.jpg;https://images.openbeautyfacts.org/images/products/000/000/000/1060/ingredients_en.3.400.jpg
p0000009;http://world-en.openbeautyfacts.org/product/00001234/nescafe-foster-poultry-farms;nescafe;foster poultry farms;foster-poultry-farms;tomato is  health to our body;https://images.openbeautyfacts.org/images/products/000/000/000/1234/front_en.260.400.jpg;https://images.openbeautyfacts.org/images/products/000/000/000/1234/ingredients_en.223.400.jpg
p0000010;http://world-en.openbeautyfacts.org/product/00001277/indian-healing-clay-aztec-secret;indian healing clay;aztec secret;aztec-secret;natural calcium bentonite (green) clay;https://images.openbeautyfacts.org/images/products/000/000/000/1277/front_en.10.400.jpg;https://images.openbeautyfacts.org/images/products/000/000/000/1277/ingredients_en.12.400.jpg
