ingredients,category
undecylenic acid,fatty acids
lauric acid,fatty acids
tridecylic acid,fatty acids
myristic acid,fatty acids
pentadecylic acid,fatty acids
palmitic acid,fatty acids
palmitoleic acid,fatty acids
margaric acid,fatty acids
stearic acid,fatty acids
vaccenic acid,fatty acids
oleic acid,fatty acids
elaidic acid,fatty acids
linoleic acid,fatty acids
linolelaidic acid,fatty acids
alpha-linolenic acid,fatty acids
gamma-linolenic acid,fatty acids
stearidonic acid,fatty acids
nonadecylic acid,fatty acids
arachidic acid,fatty acids
gondoic acid,fatty acids
dihomo-y-linolenic acid,fatty acids
mead acid,fatty acids
arachidonic acid,fatty acids
eicosapentaenoic acid,fatty acids
heneicosylic acid,fatty acids
behenic acid,fatty acids
erucic acid,fatty acids
docosatetraenoic acid,fatty acids
docosahexaenoic acid,fatty acids
tricosylic acid,fatty acids
lignoceric acid,fatty acids
nervonic acid,fatty acids
acai,lipids
sweet almond,lipids
andiroba,lipids
apple,lipids
apricot,lipids
argan,lipids
avocado,lipids
baobab,lipids
babassu,lipids
barbary fig,lipids
beefsteak,lipids
blackberry,lipids
european blueberry,lipids
borage,lipids
brazil nut,lipids
broccoli,lipids
buriti,lipids
cacay,lipids
candelilla,lipids
carnauba,lipids
carrot,lipids
castor,lipids
celery,lipids
wild celery,lipids
bitter cherry,lipids
sweet cherry,lipids
chia,lipids
chinaberry,lipids
cloudberry,lipids
cocoa,lipids
coconut,lipids
coffee,lipids
cotton,lipids
corn,lipids
crambe,lipids
cranberry,lipids
cucumber,lipids
cumin,lipids
black cumin,lipids
cupuacu,lipids
black currant,lipids
egg,lipids
evening primrose,lipids
galip,lipids
ginseng,lipids
goji,lipids
grapeseed,lipids
hazelnut,lipids
chilean hazelnut,lipids
harakeke,lipids
hemp,lipids
illipe,lipids
kiwi,lipids
jojoba,lipids
karanja,lipids
kukui,lipids
lingonberry,lipids
linseed,lipids
lanolin,lipids
mushroom,lipids
macadamia,lipids
mango,lipids
marula,lipids
meadowfoam,lipids
mongongo,lipids
moringa,lipids
musk mallow,lipids
mustard,lipids
neem,lipids
olive,lipids
tsubaki,lipids
palm,lipids
brazillian palm,lipids
south american palm,lipids
papaya,lipids
passion fruit,lipids
passion flower,lipids
pataua,lipids
peach,lipids
peanut,lipids
pecan,lipids
black pepper,lipids
pequi,lipids
japanese pine,lipids
korean pine,lipids
siberian pine,lipids
pistachio,lipids
common plum,lipids
hog plum,lipids
pomegranate,lipids
pongamia,lipids
poppy,lipids
opium poppy,lipids
pracaxi,lipids
pumpkin,lipids
purple viper's bugloss,lipids
radish,lipids
rapeseed,lipids
raspberry,lipids
rice,lipids
dog rose,lipids
musk rose,lipids
rosehip,lipids
rose,lipids
safflower,lipids
seabuckthorn,lipids
sesame,lipids
shea,lipids
shorea,lipids
east african shea,lipids
soybean,lipids
sponge gourd,lipids
sunflower,lipids
sweet brier,lipids
tamanu,lipids
tomato,lipids
watermelon,lipids
wheat,lipids
white lupin,lipids
galactomyces,galactomyces
galactomyces ferment filtrate,galactomyces
galactomyces filtrate ferment,galactomyces
aspergillus ferment,high sensitivity
bacillus ferment,high sensitivity
alteromonas ferment extract,high sensitivity
lactococcus ferment lysate,high sensitivity
lactococcus ferment,high sensitivity
pseudoalteromonas exopolysaccharides,high sensitivity
pseudoalteromonas ferment extract,high sensitivity
thermus thermophillus ferment,high sensitivity
leuconostoc/radish root ferment filtrate,high sensitivity
leuconostoc/radish root fermentfiltrate,high sensitivity
rice ferment filtrate (sake),high sensitivity
rice ferment filtrate,high sensitivity
rice filtrate ferment,high sensitivity
saccharomyces xylinum (kombucha) black tea ferment,high sensitivity
saccharomyces/camellia sinensis leaf/cladosiphon okamuranus/rice ferment filtrate,high sensitivity
saccharomyces/xylinum/black tea ferment,high sensitivity
saccharomyces/rice ferment filtrate extract,high sensitivity
saccharomyces/rice ferment filtrate,high sensitivity
aspergillus/rice ferment filtrate,high sensitivity
bacillus/soybean/folic acid ferment,high sensitivity
lactobacillus/eriodictyon californicum ferment extract,high sensitivity
lactobacillus/pumpkin fruit ferment filtrate,high sensitivity
lactobacillus/rice ferment filtrate,high sensitivity
lactobacillus/tomato fruit ferment extract,high sensitivity
lactobacillus/wasabia japonica root ferment extract,high sensitivity
lactobacillus/water hyacinth ferment,high sensitivity
saccharomyces cerevisiae extract,high sensitivity
saccharomyces cerevisiae,high sensitivity
saccharomyces,high sensitivity
saccharomyces ferment filtrate,high sensitivity
saccharomyces ferment,high sensitivity
saccharomyces ferments,high sensitivity
saccharomyces (lysate copper zinc) ferment,high sensitivity
saccharomyces/copper ferment,high sensitivity
saccharomyces/iron ferment,high sensitivity
saccharomyces/magnesium ferment,high sensitivity
saccharomyces/silicon ferment,high sensitivity
saccharomyces/zinc ferment,high sensitivity
yeast,high sensitivity
yeast extract,high sensitivity
faex (yeast extract),high sensitivity
hydrolyzed yeast extract,high sensitivity
yeast extract/faex/extrait de levure,high sensitivity
